Query 2 - Top Resources
Generated at: 2026-05-16 19:31:37 IST
Hadoop run_id: 29
Pig run_id: 30
Hive run_id (successful): NONE
Hive last attempted run_id: 36
Hive note: current Hive environment did not produce result rows in q tables yet.

===== Hadoop-MapReduce =====
batch_id	resource_path	request_count	total_bytes	distinct_host_count
199531	/images/launch-logo.gif	3790	5851608	2935
199531	/images/ksclogosmall.gif	3554	11911895	2815
199531	/shuttle/countdown/	2713	11781101	2088
199531	/shuttle/missions/missions.html	2598	20885539	1986
199531	/shuttle/missions/sts-69/count69.gif	2352	103268747	1800
199531	/images/launchmedium.gif	2306	25472097	1744
199531	/shuttle/missions/sts-69/mission-sts-69.html	2109	22423184	1582
199531	/shuttle/missions/sts-69/sts-69-patch-small.gif	1980	14670645	1611
199531	/icons/menu.xbm	1821	890630	1311
199531	/icons/blank.xbm	1794	844940	1315
199531	/icons/image.xbm	1572	752302	1114
199532	/images/NASA-logosmall.gif	21442	14034030	12105
199532	/images/KSC-logosmall.gif	18036	18593372	12837
199532	/images/MOSAIC-logosmall.gif	15247	4839516	8701
199532	/images/USA-logosmall.gif	15163	3106584	8641
199532	/images/WORLD-logosmall.gif	15036	8848863	8581
199532	/images/ksclogo-medium.gif	14406	73976126	7774
199532	/ksc.html	9859	66824092	4582
199532	/history/apollo/images/apollo-logo1.gif	9691	10107741	7168
199532	/images/launch-logo.gif	8930	13527561	6640
199532	/	7110	44582197	4686
199532	/images/ksclogosmall.gif	6947	23002280	5384
199532	/shuttle/missions/sts-69/mission-sts-69.html	6466	67347456	4691
199532	/shuttle/missions/sts-69/sts-69-patch-small.gif	6044	44068516	4604
199532	/shuttle/missions/sts-69/count69.gif	5896	250270571	4325
199532	/shuttle/countdown/	5893	25285603	4532
199532	/shuttle/missions/missions.html	5680	45667051	4288
199532	/images/launchmedium.gif	4941	54749007	3776
199532	/icons/blank.xbm	3332	1438943	2320
199532	/icons/menu.xbm	3326	1504585	2315
199532	/icons/image.xbm	2889	1259266	1968
199533	/images/NASA-logosmall.gif	20382	13593084	11620
199533	/images/KSC-logosmall.gif	17782	18151504	12558
199533	/images/MOSAIC-logosmall.gif	14989	4699035	8478
199533	/images/USA-logosmall.gif	14903	3010878	8414
199533	/images/WORLD-logosmall.gif	14761	8526405	8337
199533	/images/ksclogo-medium.gif	13986	71136982	7506
199533	/ksc.html	9791	64521288	4625
199533	/history/apollo/images/apollo-logo1.gif	9645	10016247	7127
199533	/images/launch-logo.gif	8984	13522422	6697
199533	/	6646	40375722	4350
199533	/images/ksclogosmall.gif	6587	21762745	5102
199533	/shuttle/missions/sts-69/mission-sts-69.html	6565	73822796	4821
199533	/shuttle/missions/sts-69/sts-69-patch-small.gif	6087	44532731	4687
199533	/shuttle/missions/missions.html	5717	45519542	4289
199533	/shuttle/countdown/	5400	22579936	4149
199533	/shuttle/missions/sts-69/count69.gif	5301	220370667	3929
199533	/images/launchmedium.gif	5090	55246833	3823
199533	/icons/menu.xbm	2714	1253206	1918
199533	/icons/blank.xbm	2688	1189024	1923
199533	/history/history.html	2585	3820770	2043
199534	/images/NASA-logosmall.gif	21217	13866612	11252
199534	/images/KSC-logosmall.gif	17361	17645824	12231
199534	/images/MOSAIC-logosmall.gif	16101	5023194	8835
199534	/images/USA-logosmall.gif	16017	3219138	8778
199534	/images/WORLD-logosmall.gif	15862	9137871	8702
199534	/images/ksclogo-medium.gif	14631	74410210	7472
199534	/ksc.html	10399	69784672	4591
199534	/history/apollo/images/apollo-logo1.gif	8737	8903070	6415
199534	/images/launch-logo.gif	8203	12218829	6049
199534	/	6725	42360675	4316
199534	/shuttle/missions/sts-69/mission-sts-69.html	5899	68332697	4290
199534	/images/ksclogosmall.gif	5819	19047400	4537
199534	/shuttle/missions/sts-69/sts-69-patch-small.gif	5582	41756778	4227
199534	/shuttle/countdown/	5210	22995394	3879
199534	/shuttle/missions/missions.html	5137	40599683	3823
199534	/shuttle/missions/sts-69/count69.gif	5100	208618287	3668
199534	/images/launchmedium.gif	4575	49592952	3418
199534	/software/winvn/winvn.html	2917	24591384	2347
199534	/software/winvn/winvn.gif	2523	54672624	2113
199534	/icons/menu.xbm	2493	1149914	1855
199535	/images/NASA-logosmall.gif	23392	12163350	9294
199535	/images/KSC-logosmall.gif	13309	13185004	9072
199535	/images/MOSAIC-logosmall.gif	12488	3828561	6627
199535	/images/USA-logosmall.gif	12391	2446002	6571
199535	/images/WORLD-logosmall.gif	12268	6932847	6512
199535	/images/ksclogo-medium.gif	11528	57416408	5728
199535	/htbin/cdt_main.pl	9741	37197876	2691
199535	/ksc.html	8041	52869762	3469
199535	/shuttle/countdown/images/countclock.gif	6531	44710830	2358
199535	/shuttle/missions/sts-69/count69.gif	5734	223491628	3718
199535	/history/apollo/images/apollo-logo1.gif	5510	5558847	4047
199535	/	5459	32070636	3372
199535	/shuttle/countdown/	5244	21138975	3489
199535	/images/launch-logo.gif	5231	7681092	3819
199535	/htbin/cdt_clock.pl	5168	3626955	1196
199535	/images/ksclogosmall.gif	4903	15739550	3660
199535	/shuttle/missions/sts-69/sts-69-patch-small.gif	3712	26261667	2724
199535	/shuttle/countdown/liftoff.html	3691	20081598	1979
199535	/shuttle/missions/sts-69/mission-sts-69.html	3567	47012698	2424
199535	/shuttle/missions/missions.html	3321	26100416	2468

===== Apache-Pig =====
batch_id	resource_path	request_count	total_bytes	distinct_host_count
199526	/images/NASA-logosmall.gif	14786	9930324	5732
199526	/images/KSC-logosmall.gif	13258	14161448	5374
199526	/shuttle/countdown/count.gif	9990	373754320	3890
199526	/shuttle/countdown/	9878	36120040	3997
199526	/shuttle/missions/sts-71/sts-71-patch-small.gif	6166	67888128	2097
199526	/images/MOSAIC-logosmall.gif	5772	1862190	2389
199526	/images/ksclogo-medium.gif	5746	30491468	2309
199526	/images/USA-logosmall.gif	5744	1197612	2359
199526	/images/WORLD-logosmall.gif	5606	3350352	2332
